block_number,duration,CPU Usage,IP
127,0.8557887077331543,39.6,http://192.168.0.130:5000
128,0.5042262077331543,28.1,http://192.168.0.130:5000
129,0.6370923519134521,35.7,http://192.168.0.130:5000
130,0.2998473644256592,15.8,http://192.168.0.130:5000
131,0.6523160934448242,36.1,http://192.168.0.130:5000
132,0.4405045509338379,26.8,http://192.168.0.130:5000
133,1.3251886367797852,42.9,http://192.168.0.130:5000
134,0.9099369049072266,39.0,http://192.168.0.130:5000
135,1.5678153038024902,48.8,http://192.168.0.130:5000
136,0.6805951595306396,36.8,http://192.168.0.130:5000
137,0.9838974475860596,55.8,http://192.168.0.130:5000
138,0.4491713047027588,28.3,http://192.168.0.130:5000
139,0.33538317680358887,21.4,http://192.168.0.130:5000
140,0.42313408851623535,25.9,http://192.168.0.130:5000
141,0.3178677558898926,20.0,http://192.168.0.130:5000
142,0.7873222827911377,50.0,http://192.168.0.130:5000
143,0.5734589099884033,30.7,http://192.168.0.130:5000
144,0.7115952968597412,33.7,http://192.168.0.130:5000
145,2.2903480529785156,71.6,http://192.168.0.130:5000
146,0.22729969024658203,34.4,http://192.168.0.130:5000
147,0.4673805236816406,33.3,http://192.168.0.130:5000
148,0.28478503227233887,11.1,http://192.168.0.130:5000
149,0.23218703269958496,16.1,http://192.168.0.130:5000
150,0.372544527053833,26.0,http://192.168.0.130:5000
151,1.7252886295318604,58.2,http://192.168.0.130:5000
152,0.634230375289917,34.9,http://192.168.0.130:5000
153,0.8358359336853027,37.0,http://192.168.0.130:5000
154,0.49782514572143555,39.4,http://192.168.0.130:5000
155,1.0216577053070068,50.4,http://192.168.0.130:5000
156,0.24643731117248535,13.3,http://192.168.0.130:5000
157,0.3218517303466797,21.4,http://192.168.0.130:5000
158,0.22815608978271484,15.6,http://192.168.0.130:5000
159,1.3711819648742676,44.3,http://192.168.0.130:5000
160,0.41929078102111816,30.4,http://192.168.0.130:5000
161,0.4883115291595459,30.6,http://192.168.0.130:5000
162,0.4019465446472168,29.6,http://192.168.0.130:5000
163,0.5933165550231934,34.6,http://192.168.0.130:5000
164,0.9995338916778564,42.5,http://192.168.0.130:5000
165,0.3127598762512207,87.8,http://192.168.0.130:5000
166,0.24829697608947754,50.0,http://192.168.0.130:5000
167,0.4258749485015869,28.6,http://192.168.0.130:5000
168,0.41234850883483887,41.8,http://192.168.0.130:5000
169,0.5646827220916748,30.6,http://192.168.0.130:5000
170,0.3552982807159424,20.0,http://192.168.0.130:5000
171,0.27823519706726074,11.1,http://192.168.0.130:5000
172,0.9030637741088867,39.0,http://192.168.0.130:5000
173,1.076014518737793,51.8,http://192.168.0.130:5000
174,0.5518546104431152,30.0,http://192.168.0.130:5000
175,1.3793141841888428,43.2,http://192.168.0.130:5000
176,0.9802305698394775,42.1,http://192.168.0.130:5000
177,0.22965788841247559,3.3,http://192.168.0.130:5000
178,0.41167593002319336,25.0,http://192.168.0.130:5000
179,0.5242490768432617,30.4,http://192.168.0.130:5000
180,0.2582685947418213,12.1,http://192.168.0.130:5000
181,1.0284783840179443,40.6,http://192.168.0.130:5000
182,0.28512048721313477,11.1,http://192.168.0.130:5000
183,0.36029720306396484,22.9,http://192.168.0.130:5000
184,0.40773487091064453,28.3,http://192.168.0.130:5000
185,0.2348165512084961,12.5,http://192.168.0.130:5000
186,0.37800002098083496,22.9,http://192.168.0.130:5000
187,0.694040060043335,33.7,http://192.168.0.130:5000
188,0.8665564060211182,37.5,http://192.168.0.130:5000
189,0.26213550567626953,11.8,http://192.168.0.130:5000
190,0.5866456031799316,32.4,http://192.168.0.130:5000
191,0.22347736358642578,10.0,http://192.168.0.130:5000
192,0.4324989318847656,26.8,http://192.168.0.130:5000
193,0.4089927673339844,25.9,http://192.168.0.130:5000
194,0.3797569274902344,28.0,http://192.168.0.130:5000
195,0.5350818634033203,32.4,http://192.168.0.130:5000
196,0.5208175182342529,33.3,http://192.168.0.130:5000
197,0.5836021900177002,31.6,http://192.168.0.130:5000
198,0.5470294952392578,31.1,http://192.168.0.130:5000
199,0.39568567276000977,23.1,http://192.168.0.130:5000
200,0.40938353538513184,26.9,http://192.168.0.130:5000
201,0.32221531867980957,16.7,http://192.168.0.130:5000
